Bron: Thumbs up?,Titel resultaat,Ranking,Link/resultaat,"Query ",Relevant?,vrije tags page,Bronnen DB,Bron: Inst/Bedrijf,Toegankelijkheid doelgroep (indruk),Soort Resultaat,Bron: Vrije labels,Bron: Commerciality,Bron: Sector,Q: soort,Bron: reclame,Opmerking,Q: Ranking vrije labels,Bron: doel,Bron: Trackers,OnderzoekNr,Related to Bronnen DB test (Resultaten DB),Bronnen: URL domein,Query: Video Schooltv,Created by,Bron-Status,Created time,Bron: Onderwerp
Just-in-case,geld - Google Zoeken,1,https://www.google.nl/search?sca_esv=598588983&q=geld&tbm=nws&source=univ&tbo=u&sa=X&ved=2ahUKEwiI4um6z9-DAxUOX0EAHXa2Cb0Qt8YBKAF6BAgNEAU,geld (https://www.notion.so/geld-03503decdc9c4a2ca52fb56abf285fc8?pvs=21),relevant,zoekmachine_facet_link,google.nl/com (https://www.notion.so/google-nl-com-7c0c28e0af774374ba7898b99657f780?pvs=21),Aphabet,nvt,navigational,"BigTech,zoekmachines",commercieel,BigTech,Eén woord,many_ads,,,informatieproduct div. commercieel,13,1,,https://www.google.com/,- (klokhuis 9),Maarten Sprenger,Almost completed,"January 15, 2024 3:42 PM",
Ja,Calvariekruis Begraafplaats Rillaar - Rillaar (Aarschot) - TracesOfWar.nl,1,https://www.tracesofwar.nl/sights/131249/Calvariekruis-Begraafplaats-Rillaar.htm,rillaar monumenten (https://www.notion.so/rillaar-monumenten-3df617918032408e97f9222387714a30?pvs=21),relevant,,tracesofwar.nl (https://www.notion.so/tracesofwar-nl-f616d95bbd494ae2b714a4882861f74a?pvs=21),TracesOfWar is een project van STIWOT (stichting),redelijk_begrijpelijk,informatief,"informatie_primair_doel,kennisbank/centrum",not_for_profit,Onafhankelijk Kennis- en adviescentrum,2 of meer woorden,limited_ads,,,kennisbank/centrum +,3,1,,https://www.tracesofwar.nl/,"- ",Maarten Sprenger,Needs peer-review,"January 15, 2024 1:07 PM",
Nee,Knups - Wist je datjes,1,https://www.knups.nl/wist-je-dat,wist je dat? (https://www.notion.so/wist-je-dat-2f01ede35afc48bd9d01d365f87f9d14?pvs=21),relevant,outdated,knups.nl (https://www.notion.so/knups-nl-d5e69f46d73b4af8b2d2e776c3eb61ec?pvs=21),Knups.nl,redelijk_begrijpelijk,informatief,"link/reclamevehikel,oud/verouderd",commercieel,Online-bedrijven,Named entity,limited_ads,,,outdated,2,1,,https://www.knups.nl/,"- ",Maarten Sprenger,Almost completed,"January 15, 2024 11:35 AM",
Nee,Klok Kopen: 1250+ Unieke Mooie Klokken – Grote voorraad!,1,https://www.klokkenconcurrent.nl/,klokken (https://www.notion.so/klokken-ea2491d6631741438a45be51ea12006e?pvs=21),relevant,"homepage, webshop_result_page",klokkenconcurrent.nl (https://www.notion.so/klokkenconcurrent-nl-36f005c3685d4d83bb7c62d58866cc1c?pvs=21),Even-Tijdcentrum VOF,nvt,transactional,webshop,commercieel,Winkels en bedrijven div,Eén woord,company_promotion,,(Bijna) alleen shops op de query,alleen webshop,3,1,,https://www.klokkenconcurrent.nl/,"- ",Maarten Sprenger,Done,"January 15, 2024 11:10 AM",
Ja,Ligboxenstal - Wikipedia,1,https://nl.wikipedia.org/wiki/Ligboxenstal,wat is en ligboxstal (https://www.notion.so/wat-is-en-ligboxstal-fb6ef68d60344b8eac0179a043e7c695?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Vragen,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,-,Maarten Sprenger,Done,"January 14, 2024 1:18 PM",
Ja,Gouverneur Roemer blikt vooruit op 2023 - Provincie Limburg,1,"https://www.limburg.nl/actueel/nieuws/nieuwsberichten/2023/januari/gouverneur-roemer-blikt-vooruit-2023/#:~:text=In%20een%20video%20blikt%20gouverneur,kijkt%20hij%20vooruit%20naar%202023.",De gouverneur van limburg (https://www.notion.so/De-gouverneur-van-limburg-f9cc218600054b3da3af094ef4830f45?pvs=21),relevant,,limburg.nl (https://www.notion.so/limburg-nl-9e639a7acd074a6eb7fe7dfbe7e7670f?pvs=21),Provincie Limburg,redelijk_begrijpelijk,informatief,"informatie_primair_doel,overheidsinfo (of i.o.v.)",not_for_profit,Overheid (of i.o.v.),2 of meer woorden,no_ads,,,overheidsinformatie (overige),1,1,,https://www.limburg.nl,-,Maarten Sprenger,Done,"January 14, 2024 1:04 PM",
Ja,Stoomboot - Wikipedia,1,https://nl.wikipedia.org/wiki/Stoomboot,stoomschip (https://www.notion.so/stoomschip-f9732dd1ee97460694f0b499c22a054c?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Eén woord,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,"5 ",Maarten Sprenger,Done,"January 14, 2024 12:44 PM",
Ja,Hommels,1,https://www.bestuivers.nl/wilde-bijen/bijenportretten/hommels,hommels (https://www.notion.so/hommels-f4f064d913e0425086f6e26750c6d63b?pvs=21),relevant,,bestuivers.nl (https://www.notion.so/bestuivers-nl-6c8477f93de64afa9f7eed6842292885?pvs=21),EIS Kenniscentrum Insecten,complex,informatief,"informatie_primair_doel,kennisbank/centrum",not_for_profit,Onafhankelijk Kennis- en adviescentrum,Eén woord,company_promotion,,,kennisbank/centrum +,3,1,,https://www.bestuivers.nl/,-,Maarten Sprenger,Almost completed,"January 13, 2024 4:33 PM",dieren
Ja,Ongewervelden - Wikipedia,1,https://nl.wikipedia.org/wiki/Ongewervelden,Ongewervelde dieren (https://www.notion.so/Ongewervelde-dieren-e2ea0873311948bcaa03d21d5605a89e?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Named entity,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,"-  (KC 2, 6, 7)",Maarten Sprenger,Done,"January 13, 2024 3:34 PM",
Nee,Dé webshop voor al je computeronderdelen: Azerty,1,https://azerty.nl/,azerty (https://www.notion.so/azerty-ec04ab8431194d1bbf943727a797618e?pvs=21),niet_relevant,"homepage, webshop_result_page",azerty.nl (https://www.notion.so/azerty-nl-a8e83863edbb4c029124bc12313415fa?pvs=21),Azerty,nvt,transactional,webshop,commercieel,Winkels en bedrijven div,Named entity,company_promotion,,,alleen webshop,3,1,,https://azerty.nl/,-,Maarten Sprenger,Done,"January 13, 2024 3:10 PM",
